0	1.9044	0	1.08525
1E-5	2.44728	1E-5	0.038464
2E-5	2.48141	2E-5	0.2352
3E-5	2.44245	3E-5	0.988656
4E-5	2.38062	4E-5	1.76594
5E-5	2.32943	5E-5	2.30882
6E-5	2.30206	6E-5	2.54226
7E-5	2.29433	7E-5	2.53743
8E-5	2.30077	8E-5	2.41572
9E-5	2.31301	9E-5	2.28048
1E-4	2.32363	1E-4	2.18904
0.00011	2.32814	0.00011	2.14815
0.00012	2.32911	0.00012	2.14686
0.00013	2.32685	0.00013	2.16682
0.00014	2.32653	0.00014	2.18872
0.00015	2.32556	0.00015	2.20256
0.00016	2.32395	0.00016	2.21093
0.00017	2.3217	0.00017	2.20932
0.00018	2.32363	0.00018	2.20578
0.00019	2.32267	0.00019	2.20256
0.0002	2.32331	0.0002	2.19966
0.00021	2.32621	0.00021	2.20321
0.00022	2.32524	0.00022	2.20063
0.00023	2.32492	0.00023	2.2016
0.00024	2.32589	0.00024	2.20385
0.00025	2.32428	0.00025	2.2016
0.00026	2.32685	0.00026	2.20578
0.00027	2.32395	0.00027	2.20417
0.00028	2.32621	0.00028	2.20256
0.00029	2.32299	0.00029	2.20288
0.0003	2.32878	0.0003	2.20417
0.00031	2.3275	0.00031	2.20385
0.00032	2.32556	0.00032	2.20288
0.00033	2.32556	0.00033	2.20514
0.00034	2.32846	0.00034	2.20288
0.00035	2.32653	0.00035	2.20288
0.00036	2.3246	0.00036	2.20192
0.00037	2.32589	0.00037	2.20514
0.00038	2.32717	0.00038	2.20192
0.00039	2.32653	0.00039	2.20353
0.0004	2.32685	0.0004	2.20417
0.00041	2.32524	0.00041	2.20321
0.00042	2.32653	0.00042	2.20353
0.00043	2.32782	0.00043	2.20256
0.00044	2.32814	0.00044	2.2016
0.00045	2.3275	0.00045	2.20288
0.00046	2.32685	0.00046	2.20417
0.00047	2.32911	0.00047	2.20288
0.00048	2.32492	0.00048	2.20321
0.00049	2.32814	0.00049	2.20353
0.0005	2.3275	0.0005	2.20385
0.00051	2.32556	0.00051	2.20514
0.00052	2.32878	0.00052	2.20256
0.00053	2.3275	0.00053	2.2061
0.00054	2.32814	0.00054	2.20514
0.00055	2.32685	0.00055	2.20675
0.00056	2.32911	0.00056	2.20224
0.00057	2.32878	0.00057	2.2061
0.00058	2.3275	0.00058	2.20449
0.00059	2.32943	0.00059	2.20482
0.0006	2.32814	0.0006	2.20546
0.00061	2.33039	0.00061	2.20482
0.00062	2.32395	0.00062	2.20256
0.00063	2.32556	0.00063	2.20482
0.00064	2.32653	0.00064	2.20256
0.00065	2.3275	0.00065	2.20546
0.00066	2.32653	0.00066	2.20578
0.00067	2.32685	0.00067	2.20031
0.00068	2.32621	0.00068	2.20417
0.00069	2.32975	0.00069	2.20288
0.0007	2.32878	0.0007	2.20385
0.00071	2.32653	0.00071	2.20288
0.00072	2.32782	0.00072	2.20482
0.00073	2.32911	0.00073	2.20385
0.00074	2.32685	0.00074	2.20385
0.00075	2.3275	0.00075	2.20546
0.00076	2.32621	0.00076	2.20353
0.00077	2.3275	0.00077	2.20643
0.00078	2.32911	0.00078	2.20546
0.00079	2.32814	0.00079	2.20578
0.0008	2.32943	0.0008	2.20353
0.00081	2.32846	0.00081	2.2061
0.00082	2.32814	0.00082	2.20321
0.00083	2.32975	0.00083	2.20449
0.00084	2.32911	0.00084	2.20675
0.00085	2.32782	0.00085	2.20514
0.00086	2.32717	0.00086	2.20353
0.00087	2.32782	0.00087	2.20643
0.00088	2.32943	0.00088	2.20578
0.00089	2.32975	0.00089	2.20675
0.0009	2.32911	0.0009	2.20449
0.00091	2.32975	0.00091	2.20804
0.00092	2.33072	0.00092	2.20482
0.00093	2.32943	0.00093	2.2061
0.00094	2.32911	0.00094	2.20707
0.00095	2.32846	0.00095	2.20643
0.00096	2.32943	0.00096	2.20675
0.00097	2.32943	0.00097	2.20739
0.00098	2.32975	0.00098	2.20482
0.00099	2.32653	0.00099	2.20578
0.001	2.3275	0.001	2.20868
0.00101	2.33233	0.00101	2.2061
0.00102	2.32943	0.00102	2.20417
0.00103	2.33136	0.00103	2.20514
0.00104	2.32846	0.00104	2.20707
0.00105	2.32943	0.00105	2.2061
0.00106	2.32878	0.00106	2.20385
0.00107	2.33072	0.00107	2.20643
0.00108	2.32975	0.00108	2.20353
0.00109	2.32717	0.00109	2.20707
0.0011	2.32943	0.0011	2.20578
0.00111	2.32911	0.00111	2.20643
0.00112	2.32911	0.00112	2.20771
0.00113	2.33039	0.00113	2.20482
0.00114	2.32717	0.00114	2.20449
0.00115	2.3275	0.00115	2.20546
0.00116	2.32717	0.00116	2.20449
0.00117	2.32685	0.00117	2.20739
0.00118	2.32621	0.00118	2.20417
0.00119	2.32814	0.00119	2.20836
0.0012	2.32589	0.0012	2.20739
0.00121	2.32878	0.00121	2.20385
0.00122	2.32846	0.00122	2.20514
0.00123	2.32621	0.00123	2.20514
0.00124	2.32911	0.00124	2.20836
0.00125	2.32782	0.00125	2.20771
0.00126	2.332	0.00126	2.20643
0.00127	2.32846	0.00127	2.20482
0.00128	2.32943	0.00128	2.20514
0.00129	2.32685	0.00129	2.20353
0.0013	2.32911	0.0013	2.20771
0.00131	2.32911	0.00131	2.20707
0.00132	2.32878	0.00132	2.20739
0.00133	2.33072	0.00133	2.20965
0.00134	2.32814	0.00134	2.20836
0.00135	2.32878	0.00135	2.209
0.00136	2.32878	0.00136	2.20546
0.00137	2.32846	0.00137	2.20546
0.00138	2.32621	0.00138	2.20514
0.00139	2.33039	0.00139	2.20482
