Frequency (Hz) - Phase	Phase - Phase	
17200,2	0,429461	
17300,2	0,519174	
17400,2	0,326926	
17400,2	0,340487	
17500,1	0,45152	
17500,1	0,54186	
17600,1	0,411398	
17700,1	0,349626	
17700,1	0,568003	
17800,2	0,438318	
17800,2	0,551243	
17900,2	0,430941	
18000,2	0,306102	
18000,2	0,592851	
18100,2	0,390239	
18100,2	0,494424	
18200,2	0,543324	
18300,1	0,612139	
18300,1	0,43897	
18400,1	0,378723	
18400,1	0,604978	
18500,1	0,340627	
18600,2	0,453729	
18600,2	0,421865	
18700,2	0,317769	
18700,2	0,615135	
18800,2	0,592517	
18900,2	0,449217	
18900,2	0,474278	
19000,1	0,623405	
19000,1	0,445683	
19100,1	0,581582	
19200,1	0,586098	
19200,1	0,509422	
19300,2	0,361172	
19300,1	0,502361	
19400,2	0,630813	
19500,2	0,726717	
19500,2	0,664244	
19600,2	0,777865	
19600,2	0,630153	
19700,2	0,588047	
19800,1	0,764237	
19800,1	0,625566	
19900,1	0,575052	
19900,1	0,485915	
20000,1	0,612575	
20000,1	0,715974	
20100,2	0,719642	
20200,2	0,666349	
20200,2	0,784598	
20300,2	0,791096	
20300,2	0,628888	
20400,2	0,573149	
20500,3	0,592864	
20500,3	0,689878	
20600,1	0,468152	
20600,1	0,653349	
20700,1	0,668971	
20800,2	0,742127	
20800,1	0,569613	
20900,2	0,848457	
20900,2	0,503919	
21000,2	0,444349	
21100,2	0,791548	
21100,2	0,701281	
21200,2	0,634111	
21200,2	0,495414	
21300,3	0,723234	
21400,1	0,86217	
21400,1	0,866846	
21500,1	0,757733	
21500,1	0,824375	
21600,1	0,854803	
21700,2	0,756755	
21700,2	0,683407	
21800,2	0,794935	
21800,2	0,821797	
21900,2	0,779889	
22000,3	0,535223	
22000,3	0,890963	
22100,1	0,712774	
22100,1	0,700996	
22200,1	0,741341	
22300,1	0,629633	
22300,2	0,936367	
22400,2	0,710125	
22400,2	0,795547	
22500,2	0,88614	
